JAAR;PLAATS;Amsterdam Code,
1907;Leiden;10702,
1941;Oss;10834,
2001;Amsterdam;11150,
2001;Rijswijk;11133,
2001;Almere;10018,
2001;Gouda;10302,
2001;Rotterdam;10345,
2001;Utrecht;10722,
2001;Zwolle;10093,
2001;Amsterdam;11150,
2001;Rozenburg;11314,
2001;Arnhem;10795,
2001;Nieuwegein;10374,
2001;Zwolle;10093,
2001;landelijk;,
2001;landelijk;,
2001;Almelo;11053,
2001;landelijk;,
2001;Den Helder;10285,
2001;Rotterdam;10345,
2001;Terneuzen;10704,
2001;Oss;10834,
2001;Amsterdam;11150,
1947;Oss;10834,
1947;Vught;11224,
1947;Velsen;10620,
1947;Amsterdam;11150,
2001;landelijk;,
2001;landelijk;,
1863;Wormerveer;10361,
1863;Steenwijk;10546,
1863;Brouwershaven;10030,
1864;Steenwijk;10546,
1864;Tilburg;10792,
1864;Breda;10154,
1864;Zutphen;10254,
1865;Amsterdam;11150,
1865;Velsen;10620,
1865;Velsen;10620,
1867;Amsterdam;11150,
1876;Amsterdam;11150,
1877;Amsterdam;11150,
1877;Arnhem;10795,
1878;Deventer;10899,
1878;Amsterdam;11150,
1878;Heyenoord;10795,
1879;Sloten;10867,
1913;Beemster;10816,
1913;Appingedam;10886,
1913;Bierum;11294,
1913;Delfzijl;10976,
1913;Loppersum;10934,
1913;Termunten;11023,
1913;Deventer;10899,
1913;Loon op Zand;11259,
1913;Zaandam;11044,
1896;Rotterdam;10345,
1896;Rotterdam;10345,
1896;Schiedam;11260,
1896;Leeuwarden;11228,
1897;Amsterdam;11150,
1897;Amsterdam;11150,
1897;Aengwirden;10680,
1897;Almelo;11053,
1897;Amsterdam;11150,
1897;Rotterdam;10345,
1897;Almelo;11053,
1897;Rotterdam;10345,
1902;Rotterdam;10345,
1902;Amsterdam;11150,
1867;Nijmegen;11209,
1867;Utrecht;10722,
1867;Enschede;10364,
1867;Arnhem;10795,
1868;overijssel;,
1868;Amsterdam;11150,
1868;Gouda;10302,
1868;Zwartsluis;10303,
1868;Leiden;10702,
1868;Leiden;10702,
1868;Zwartsluis;10303,
1868;Koudekerk aan den Rijn;10029,
1923;IJzendoorn;10832,
1923;Schiedam;11260,
1923;Leerdam;10685,
1923;Zaandam;11044,
1932;Rotterdam;10345,
1921;Nijmegen;11209,
1921;Oostzaan;11303,
1921;Amsterdam;11150,
1810;Schoterland;10680,
1817;Aengwirden;10680,
1818;Aengwirden;10680,
1819;Aengwirden;10680,
1819;Scheveningen;11434,
1819;Finsterwolde;10212,
1820;Zuidbroek;11282,
1821;Alkmaar;10527,
1821;Purmerend;11066,
1822;Amsterdam;11150,
1823;Akersloot;10346,
1823;Akersloot;10346,
1823;Oud-Beyerland;,
1824;Hemelumer Oldeferd;10334,
1824;Den Helder;10285,
1825;Apeldoorn;11075,
1825;Vollenhove;11088,
1825;Terneuzen;10704,
1826;'s-Gravenhage;11434,
1826;Sas van Gent;10704,
1827;Workum;10768,
1827;Meppel;11204,
1828;Zuidplas;10855,
1829;Nieuweschans;10008,
1829;Colijnsplaat;10250,
1830;Lemsterland;10142,
1831;Lemsterland;10142,
1833;Tijnje;10005,
1833;Geldrop;10529,
1835;Almelo;11053,
1835;Lonneker;10364,
1836;Assen;10522,
1836;Meppel;11204,
1836;Dedemsvaart;11190,
1837;Leeuwarden;11228,
1837;Sneek;11421,
1837;IJsselmonde;11357,
1838;Terwispel;10005,
1838;Oosterzee;10142,
1838;Veenendaal;11052,
1838;Harlingen;10909,
1838;Leeuwarden;11228,
1839;Hemelumer Oldeferd;10334,
1840;Haarlemmermeer;11387,
1840;Maarn;10392,
1840;Dedemsvaart;11190,
1840;Koudum;10334,
1840;Moordrecht;10120,
1840;Zevenhuizen;11377,
1840;Haarlemmermeer;11387,
1841;Haarlem;10357,
1841;Sloten;10867,
1841;Menaldum;11144,
1841;Bennekom;10743,
1841;Ede;10743,
1842;Smilde;11033,
1842;Hallum;11284,
1842;Arnhem;10795,
1842;Ede;10743,
1843;Oudega;10405,
1843;Renswoude;10269,
1844;Hemelumer Oldeferd;10334,
1844;Weststellingwerf;11322,
1844;Kolhorn;10973,
1844;Cromvoirt;10053,
1844;Terneuzen;10704,
1844;Nootdorp;10601,
1844;Vrijenban;10928,
1845;Buiksloot;11150,
1845;Biervliet;10257,
1845;Leek;10604,
1845;Hemelumer Oldeferd;10334,
1845;Noordwolde;10425,
1845;Ter Idzard;11322,
1846;Eindhoven;11298,
1846;Helmond;10932,
1846;Wissenkerke;10243,
1846;beveland;,
1846;Westkapelle;10931,
1846;Vught;11224,
1848;Philippine;10486,
1848;Biervliet;10257,
1848;Loosdrecht;10639,
1849;Hollanenpolder;10376,
1849;Kampen;10253,
1849;Gemert;10277,
1849;Orthen;10054,
1849;Hedel;10225,
1850;Goes;10674,
1850;Dedemsvaart;11190,
1850;Vogelwaarde;10100,
1850;Helmond;10932,
1851;Koudum;10334,
1852;Rilland-Bath;10479,
1852;Zeeland;,
1853;friesland;,
1853;drente;,
1853;Amstelveen;10799,
1853;Terwispel;10005,
1853;Appelscha;10836,
1854;Schiedam;11260,
1855;Breda;10154,
1855;Moerdijk;11318,
1855;friesland;,
1856;Dokkum;10198,
1856;Terwispel;10005,
1856;Dedemsvaart;11190,
1857;zuid-holland;,
1857;goeree-overflakkee;,
1857;Utrecht;10722,
1857;Heerjansdam;10540,
1858;Koudum;10334,
1858;Ouwster Nyega;10022,
1858;Ulrum;10180,
1860;Steenwijk;10546,
1861;Breda;10154,
1861;Delft;10928,
1861;Wilnis;10365,
1861;Borssele;10043,
1861;Woensdrecht;10602,
1861;Steenwijk;10546,
1861;Ommen;11069,
1862;Emmen;11180,
1862;Steenwijk;10546,
1862;Enschede;10364,
1862;Lonneker;10364,
1863;Harlingen;10909,
1902;Rotterdam;10345,
1902;Emmer-Compascuum;11180,
1902;Rotterdam;10345,
1902;Amsterdam;11150,
1902;Capelle a/d Ijssel;11248,
1902;Amsterdam;11150,
1912;Amsterdam;11150,
